index,Year,Total Acres Burned,Smoke,Gaseous Pollutant Yearly Avg,Particulate Pollutant Yearly Avg
0,1989,688645.8079118228,608,37,33
1,1990,821439.7795846158,459,42,34
2,1991,305733.0897235357,80,47,37
3,1992,1202964.309353062,406,47,35
4,1993,565073.6766573447,495,43,29
5,1994,1947261.4838787701,609,44,26
6,1995,1063747.2447400666,407,42,37
7,1996,3492415.252582883,1832,46,25
8,1997,432515.75259695615,506,36,32
9,1998,821726.4104318785,358,40,24
10,1999,3401829.017887643,1143,40,35
11,2000,3115774.372055347,695,37,31
12,2001,1790435.0205343317,563,39,37
13,2002,2586816.7685635015,994,42,37
14,2003,1808424.8752068307,789,39,35
15,2004,789951.5805142729,338,34,31
16,2005,3388862.6917931866,936,33,33
17,2006,4089510.984242003,1350,43,44
18,2007,5457702.491095913,1274,34,38
19,2008,2113122.5119136986,1741,41,39
20,2009,1091086.1836519078,580,34,28
21,2010,1185530.1521825974,296,31,41
22,2011,2218345.9072725256,580,34,42
23,2012,4893799.157870655,801,39,41
24,2013,2046508.686129008,1245,29,46
25,2014,2019364.018208644,509,36,39
26,2015,2205371.693266945,1513,34,46
27,2016,1940287.9635956953,1143,33,44
28,2017,4585991.257067394,2802,33,46
29,2018,4727381.001155819,1667,34,47
30,2019,1424139.7181231305,381,30,35
